mappedGenes,riskAllele,traitName,pValue,orValue,ChemicalName,Interaction,InteractionActions
IGSF11,rs1521291-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",8e-7,0.83786356,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of IGSF11 mRNA",affects^cotreatment|increases^expression
IGSF11,rs1521291-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",8e-7,0.83786356,methylmercuric chloride,methylmercuric chloride results in decreased expression of IGSF11 mRNA,decreases^expression
IL1R1,rs55735886-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",9e-6,0.81009805,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of IL1R1 mRNA",affects^cotreatment|increases^expression
IL1RAP,rs7626071-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",9e-6,1.1625315,Lead,Lead affects the expression of IL1RAP mRNA,affects^expression
IL1RAP,rs7626071-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",9e-6,1.1625315,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of IL1RAP mRNA",affects^cotreatment|decreases^expression
IL1RAP,rs7626071-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",9e-6,1.1625315,mercuric bromide,"[NOG protein co-treated with mercuric bromide co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of IL1RAP mRNA",affects^cotreatment|decreases^expression
IL1RAP,rs7626071-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",9e-6,1.1625315,methylmercuric chloride,methylmercuric chloride results in decreased expression of IL1RAP mRNA,decreases^expression
IL34,rs12598456-?,Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile),3e-21,1.16,Lead,Lead affects the expression of IL34 mRNA,affects^expression
IL7R,rs114604666-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",4e-6,0.7025772,lead acetate,lead acetate results in decreased expression of IL7R mRNA,decreases^expression
IMMP2L,rs59406683-A,Alzheimer's disease in APOE e4+ carriers,6e-6,1.2048193,methylmercuric chloride,methylmercuric chloride results in decreased expression of IMMP2L mRNA,decreases^expression
IMPA2,rs150315631-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",7e-6,1.253701,methylmercuric chloride,methylmercuric chloride results in increased expression of IMPA2 mRNA,increases^expression
INPP4B,rs144453104-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",1e-6,1.9228337,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of INPP4B mRNA",affects^cotreatment|increases^expression
INPP5D,rs10933431-G,Alzheimer's disease,1e-18,0.92,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of INPP5D mRNA",affects^cotreatment|increases^expression
INPP5D,rs10933431-G,Alzheimer's disease,1e-18,0.92,mercuric bromide,mercuric bromide results in increased expression of INPP5D mRNA,increases^expression
INPP5D,rs10933431-G,Alzheimer's disease,1e-18,0.92,methylmercuric chloride,methylmercuric chloride results in increased expression of INPP5D mRNA,increases^expression
IPO7,rs58956854-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",8e-6,1.5108917,lead acetate,lead acetate results in decreased expression of IPO7 mRNA,decreases^expression
IQCK,rs7185636-T,Alzheimer's disease (late onset),2e-8,1.0869565,methylmercuric chloride,methylmercuric chloride results in decreased expression of IQCK mRNA,decreases^expression
IRF6,rs59043219-A,Alzheimer's disease (APOE e4 interaction),9e-6,1.19,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of IRF6 mRNA",affects^cotreatment|increases^expression
IRF6,rs59043219-A,Alzheimer's disease (APOE e4 interaction),9e-6,1.19,lead acetate,lead acetate results in decreased expression of IRF6 mRNA,decreases^expression
ITGB1BP1,rs10169262-T,Alzheimer's disease,5e-8,0.95,Lead,Lead results in increased expression of ITGB1BP1 mRNA,increases^expression
ITGB8,rs10276489-?,Rapidly progressive Alzheimer's disease (typical) (case-control set 3),6e-6,1.438,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ITGB8 mRNA",affects^cotreatment|increases^expression
ITGB8,rs10276489-?,Rapidly progressive Alzheimer's disease (typical) (case-control set 3),6e-6,1.438,methylmercuric chloride,methylmercuric chloride results in increased expression of ITGB8 mRNA,increases^expression
JAZF1,rs1160871-G,Alzheimer's disease,1e-8,0.95,Lead,Lead affects the expression of JAZF1 mRNA,affects^expression
JAZF1,rs1160871-G,Alzheimer's disease,1e-8,0.95,mercuric bromide,mercuric bromide results in decreased expression of JAZF1 mRNA,decreases^expression
JAZF1,rs1160871-G,Alzheimer's disease,1e-8,0.95,methylmercuric chloride,methylmercuric chloride results in decreased expression of JAZF1 mRNA,decreases^expression
JHY,rs73606718-?,Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 3),2e-6,3.531,methylmercuric chloride,methylmercuric chloride results in decreased expression of JHY mRNA,decreases^expression
KAT6A,rs72640376-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",1e-5,0.70878714,Mercuric Chloride,Mercuric Chloride results in decreased expression of KAT6A mRNA,decreases^expression
KAT6A,rs72640376-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",1e-5,0.70878714,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of KAT6A mRNA",affects^cotreatment|decreases^expression
KAT6A,rs72640376-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",1e-5,0.70878714,mercuric bromide,mercuric bromide results in decreased expression of KAT6A mRNA,decreases^expression
KCNE2,rs34532322-A,Alzheimer's disease,1e-6,1.59,Methylmercury Compounds,Methylmercury Compounds results in increased expression of KCNE2 mRNA,increases^expression
KCNJ4,rs35607824-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",9e-6,1.4694674,Lead,Lead affects the expression of KCNJ4 mRNA,affects^expression
KCNJ4,rs35607824-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",9e-6,1.4694674,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of KCNJ4 mRNA",affects^cotreatment|decreases^expression
KCNN2,rs75819095-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",9e-6,0.64358574,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of KCNN2 mRNA",affects^cotreatment|decreases^expression
KCNN2,rs75819095-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",9e-6,0.64358574,methylmercuric chloride,methylmercuric chloride results in increased expression of KCNN2 mRNA,increases^expression
KCNN3,rs16830122-A,Alzheimer's disease in APOE e4- carriers,2e-6,1.17,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of KCNN3 mRNA",affects^cotreatment|decreases^expression
KCNN3,rs16830122-A,Alzheimer's disease in APOE e4- carriers,2e-6,1.17,methylmercuric chloride,methylmercuric chloride results in decreased expression of KCNN3 mRNA,decreases^expression
KDM4B,rs536700624-?,Alzheimer's disease in non-APOE e4 carriers,8e-6,6.016,methylmercuric chloride,methylmercuric chloride results in decreased expression of KDM4B mRNA,decreases^expression
KHSRP,rs192565310-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",6e-7,0.70730025,Lead,Lead results in decreased expression of KHSRP mRNA,decreases^expression
KHSRP,rs192565310-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",6e-7,0.70730025,methylmercuric chloride,methylmercuric chloride results in increased expression of KHSRP mRNA,increases^expression
KIAA0232,rs10222981-T,Alzheimer's disease with language domain impairment,1e-6,2.06,methylmercuric chloride,methylmercuric chloride results in decreased expression of KIAA0232 mRNA,decreases^expression
KLF16,rs149080927-G,Alzheimer's disease,5e-10,1.05,lead acetate,lead acetate results in increased expression of KLF16 mRNA,increases^expression
KLF6,rs114394677-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",6e-6,1.8268625,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of KLF6 mRNA",affects^cotreatment|increases^expression
KLF6,rs114394677-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",6e-6,1.8268625,mercuric bromide,mercuric bromide results in increased expression of KLF6 mRNA,increases^expression
KLF6,rs114394677-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",6e-6,1.8268625,methylmercuric chloride,methylmercuric chloride results in increased expression of KLF6 mRNA,increases^expression
KLHL28,rs113165260-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",7e-6,0.77290434,Mercuric Chloride,Mercuric Chloride results in decreased expression of KLHL28 mRNA,decreases^expression
KLHL28,rs113165260-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",7e-6,0.77290434,methylmercuric chloride,methylmercuric chloride results in decreased expression of KLHL28 mRNA,decreases^expression
KLHL4,rs5969117-C,Alzheimer's disease,1e-6,1.490488,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of KLHL4 mRNA",affects^cotreatment|increases^expression
KLHL4,rs5969117-C,Alzheimer's disease,1e-6,1.490488,mercuric bromide,"[NOG protein co-treated with mercuric bromide co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of KLHL4 mRNA",affects^cotreatment|increases^expression
LARP6,rs75846809-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",5e-6,1.910949,Lead,Lead affects the expression of LARP6 mRNA,affects^expression
LARP6,rs75846809-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",5e-6,1.910949,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of LARP6 mRNA",affects^cotreatment|increases^expression
LCP1,rs7338612-?,Rapidly progressive Alzheimer's disease (typical) (case-control set 1),1e-6,1.994,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of LCP1 mRNA",affects^cotreatment|increases^expression
LHX9,rs142878294-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",6e-6,0.71333796,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of LHX9 mRNA",affects^cotreatment|decreases^expression
LIN9,rs139586416-CCT,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",8e-7,0.6112801,Lead,Lead affects the expression of LIN9 mRNA,affects^expression
LINC01234,rs111486601-T,Alzheimer's disease (adjusted for APOE e4 dosage),1e-9,0.57,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of LINC01234 mRNA",affects^cotreatment|decreases^expression
LINC01234,rs111486601-T,Alzheimer's disease (adjusted for APOE e4 dosage),1e-9,0.57,methylmercuric chloride,methylmercuric chloride results in decreased expression of LINC01234 mRNA,decreases^expression
LRAT,rs727153-C,Alzheimer's disease,3e-6,1.63,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of LRAT mRNA",affects^cotreatment|decreases^expression
LRIG1,rs2280575-?,Late-onset Alzheimer’s disease in APOEe4 non-carriers,2e-8,0.544,Lead,Lead affects the expression of LRIG1 mRNA,affects^expression
LRIG1,rs2280575-?,Late-onset Alzheimer’s disease in APOEe4 non-carriers,2e-8,0.544,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of LRIG1 mRNA",affects^cotreatment|decreases^expression
LRRIQ3,rs1340425-?,Posterior cortical atrophy and Alzheimer's disease,8e-6,1.63103,methylmercuric chloride,methylmercuric chloride results in decreased expression of LRRIQ3 mRNA,decreases^expression
LSAMP,rs1521291-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",8e-7,0.83786356,Lead,Lead affects the expression of LSAMP mRNA,affects^expression
LSAMP,rs1521291-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",8e-7,0.83786356,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of LSAMP mRNA",affects^cotreatment|decreases^expression
LSAMP,rs1521291-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",8e-7,0.83786356,mercuric bromide,mercuric bromide results in decreased expression of LSAMP mRNA,decreases^expression
LSAMP,rs1521291-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",8e-7,0.83786356,methylmercuric chloride,methylmercuric chloride results in decreased expression of LSAMP mRNA,decreases^expression
MACROD2,rs6110969-T,Alzheimer's disease in APOE e4- carriers,3e-6,1.2,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of MACROD2 mRNA",affects^cotreatment|decreases^expression
